time(ms),power(W)
1746201960000,3000653
1746202080000,3769022
1746202200000,2796585
1746202320000,2812630
1746202440000,3759580
1746202560000,3781499
1746202680000,2883152
1746202800000,3809273
1746202920000,3714702
1746203040000,3731744
1746203160000,2743843
1746203280000,2630397
1746203400000,3763610
1746203520000,2882173
1746203640000,3752067
1746203760000,2888152
1746203880000,3663310
1746204000000,3655295
1746204120000,3687160
1746204240000,2980360
1746204360000,3848791
1746204480000,2831961
1746204600000,3865536
1746204720000,3729399
1746204840000,3750237
1746204960000,2869811
1746205080000,3728801
1746205200000,3683521
1746205320000,3727028
1746205440000,1777786
1746205560000,3701458
1746205680000,1737675
1746205800000,2878382
1746205920000,2920740
1746206040000,2941642
1746206160000,2732650
1746206280000,3801957
1746206400000,2959556
1746206520000,2912910
1746206640000,3619643
1746206760000,3686972
1746206880000,3627157
1746207000000,3616150
1746207120000,3922108
1746207240000,3846459
1746207360000,3772827
1746207480000,3960817
1746207600000,3822263
1746207720000,3806484
1746207840000,4017433
1746207960000,3965411
1746208080000,3923607
1746208200000,3932224
1746208320000,3877884
1746208440000,3832017
1746208560000,3894853
1746208680000,3929422
1746208800000,3865178
1746208920000,3852024
1746209040000,3907893
1746209160000,3011825
1746209280000,3766111
1746209400000,3888868
1746209520000,2894051
1746209640000,3842011
1746209760000,3765770
1746209880000,2964458
1746210000000,3192248
1746210120000,4057124
1746210240000,3856080
1746210360000,3798245
1746210480000,3765873
1746210600000,3733009
1746210720000,2875833
1746210840000,3697239
1746210960000,3664971
1746211080000,3691760
1746211200000,3723679
1746211320000,3607098
1746211440000,3552947
1746211560000,3519089
1746211680000,3600811
1746211800000,3692570
1746211920000,2612200
1746212040000,2569791
1746212160000,3605305
1746212280000,3623884
1746212400000,3730927
1746212520000,3936487
1746212640000,4040406
1746212760000,4000942
1746212880000,4047568
1746213000000,2673689
1746213120000,4062067
1746213240000,4002792
1746213360000,3048987
1746213480000,2726744
1746213600000,4041678
1746213720000,4049454
1746213840000,4020428
1746213960000,2950455
1746214080000,3974943
1746214200000,3900955
1746214320000,2204276
1746214440000,3900901
1746214560000,2641138
1746214680000,3739093
1746214800000,3492259
1746214920000,3654939
1746215040000,2672853
1746215160000,3662228
1746215280000,3671117
1746215400000,3694251
1746215520000,3740190
1746215640000,3725640
1746215760000,2937212
1746215880000,3803839
1746216000000,3805714
1746216120000,2916536
1746216240000,2108122
1746216360000,3808022
1746216480000,3973203
1746216600000,3920717
1746216720000,3887804
1746216840000,3945881
1746216960000,3038554
1746217080000,3917549
1746217200000,2717271
1746217320000,3778464
1746217440000,3684488
1746217560000,3848509
1746217680000,3861311
1746217800000,3896688
1746217920000,4013075
1746218040000,1639259
1746218160000,3883876
1746218280000,3687877
1746218400000,3643673
1746218520000,3729522
1746218640000,3988912
1746218760000,3973008
1746218880000,4176139
1746219000000,2897150
1746219120000,3905542
1746219240000,3967765
1746219360000,3036702
1746219480000,3055694
1746219600000,3853560
1746219720000,3891776
1746219840000,3893459
1746219960000,3838521
1746220080000,3715965
1746220200000,3133511
